model_type,proportion,n_train,auc_mean,auc_lower,auc_upper
model11,0.2,72,0.9158249158249159,0.8633613117314074,0.9613289760348585
model11,0.25,90,0.9096225412014886,0.8530188679245283,0.9583949704142012
model11,0.3,108,0.9163565479354953,0.8597572362278245,0.9627814088598402
model11,0.35,126,0.9188374977848662,0.8638184245660881,0.9630252100840335
model11,0.4,144,0.9156477051213893,0.8603174603174603,0.9618055555555556
model11,0.45,162,0.9160021265284424,0.861304012345679,0.96171802054155
model11,0.5,181,0.9223817118553961,0.8734567901234568,0.9631453804347825
model11,0.55,199,0.9248626617047669,0.8770878721859113,0.9641641641641642
model11,0.6,217,0.923444976076555,0.8743812937361324,0.9641509433962264
model11,0.65,235,0.9264575580365053,0.8769374416433241,0.9653653653653654
model11,0.7,253,0.9257487152223994,0.8776094276094276,0.9654439128123338
model11,0.75,271,0.9266347687400318,0.8806480648064806,0.9663865546218487
model11,0.8,289,0.9253942938153464,0.8773602899103567,0.9658691062631949
model11,0.85,307,0.9227361332624491,0.8730357142857142,0.9657446418758013
model11,0.9,325,0.9225589225589226,0.8692857142857143,0.9654365436543655
model11,0.95,343,0.9225589225589226,0.8701785714285715,0.9648785601957015
model11,1.0,362,0.9223817118553961,0.86875,0.9636554254761489
