model_type,proportion,n_train,auc_mean,auc_lower,auc_upper
model22,0.2,46,0.8397813288477713,0.7561085972850679,0.9177577741407528
model22,0.25,57,0.8427249789739277,0.7583710407239819,0.9211753731343284
model22,0.3,69,0.8322119428090834,0.7433554817275747,0.9135802469135803
model22,0.35,80,0.8238015138772078,0.7341269841269842,0.9081035923141186
model22,0.4,92,0.8397813288477712,0.7532693984306887,0.9224774405250206
model22,0.45,103,0.8389402859545837,0.7515099223468507,0.9183035714285713
model22,0.5,115,0.8498738435660219,0.7654320987654322,0.9281537176274018
model22,0.55,126,0.8523969722455845,0.7658119658119659,0.9314954051796157
model22,0.6,138,0.8561816652649284,0.7713675213675215,0.9323308270676692
model22,0.65,149,0.8481917577796467,0.7615643397813288,0.9236410698878343
model22,0.7,161,0.862910008410429,0.779485049833887,0.9339622641509434
model22,0.75,172,0.8650126156433978,0.7886699507389162,0.9344262295081966
model22,0.8,184,0.8671152228763668,0.7953389830508475,0.9343434343434344
model22,0.85,195,0.8645920941968042,0.7873469387755102,0.9339781328847772
model22,0.9,207,0.8612279226240538,0.7876068376068377,0.9314009661835749
model22,0.95,218,0.8679562657695542,0.7942148760330578,0.9333022388059702
model22,1.0,230,0.8704793944491169,0.7985702270815811,0.936864406779661
