model_type,proportion,n_train,auc_mean,auc_lower,auc_upper
model21,0.2,46,0.840201850294365,0.7601380500431407,0.9122574955908289
model21,0.25,57,0.8343145500420522,0.7548209366391185,0.9093220338983051
model21,0.3,69,0.832632464255677,0.752454991816694,0.9106122448979592
model21,0.35,80,0.8317914213624895,0.7523128679562657,0.9085213032581454
model21,0.4,92,0.8334735071488646,0.7551282051282051,0.9122574955908289
model21,0.45,103,0.8334735071488647,0.7561085972850679,0.9097744360902256
model21,0.5,115,0.8389402859545837,0.7623931623931625,0.9148760330578513
model21,0.55,126,0.8465096719932717,0.7666666666666666,0.9205214465937762
model21,0.6,138,0.8486122792262405,0.7712363330529857,0.9222035323801514
model21,0.65,149,0.847771236333053,0.7675941080196399,0.9232142857142857
model21,0.7,161,0.847771236333053,0.7687661777394306,0.9214402618657939
model21,0.75,172,0.8431455004205214,0.7611111111111112,0.9164578111946533
model21,0.8,184,0.8410428931875525,0.7588438308886971,0.9160401002506267
model21,0.85,195,0.8343145500420521,0.7530864197530864,0.9098360655737705
model21,0.9,207,0.8330529857022708,0.7504464285714285,0.9081035923141186
model21,0.95,218,0.8347350714886459,0.7533206831119544,0.9106098579782791
model21,1.0,230,0.8410428931875525,0.7587755102040816,0.9165178571428572
